Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Aire d'attraction des villes (2020)),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
001,Paris,1968,515.36
001,Paris,1975,552.08
001,Paris,1982,565.9
001,Paris,1990,601.49
001,Paris,1999,619.28
001,Paris,2007,655.45
001,Paris,2008,658.86
001,Paris,2012,672.35
001,Paris,2013,675.81
001,Paris,2017,687.65
001,Paris,2018,689.76
002,Lyon,1968,317.36
002,Lyon,1975,347.46
002,Lyon,1982,362.47
002,Lyon,1990,388.72
002,Lyon,1999,412.95
002,Lyon,2007,441.4
002,Lyon,2008,445.27
002,Lyon,2012,463.61
002,Lyon,2013,468.4
002,Lyon,2017,486.06
002,Lyon,2018,490.56
003,Marseille - Aix-en-Provence,1968,333.46
003,Marseille - Aix-en-Provence,1975,370.14
003,Marseille - Aix-en-Provence,1982,390.7
003,Marseille - Aix-en-Provence,1990,401.54
003,Marseille - Aix-en-Provence,1999,421.92
003,Marseille - Aix-en-Provence,2007,452.03
003,Marseille - Aix-en-Provence,2008,453.23
003,Marseille - Aix-en-Provence,2012,457.02
003,Marseille - Aix-en-Provence,2013,459.24
003,Marseille - Aix-en-Provence,2017,466.22
003,Marseille - Aix-en-Provence,2018,469.25
004,Lille (partie française),1968,762.34
004,Lille (partie française),1975,796.03
004,Lille (partie française),1982,807.13
004,Lille (partie française),1990,834.25
004,Lille (partie française),1999,855.44
004,Lille (partie française),2007,869.71
004,Lille (partie française),2008,869.47
004,Lille (partie française),2012,882.32
004,Lille (partie française),2013,888.4
004,Lille (partie française),2017,899.04
004,Lille (partie française),2018,902.38
005,Toulouse,1968,105.49
005,Toulouse,1975,119.16
005,Toulouse,1982,126.95
005,Toulouse,1990,143.4
005,Toulouse,1999,163.03
005,Toulouse,2007,189.53
005,Toulouse,2008,192.08
005,Toulouse,2012,202.8
005,Toulouse,2013,206.13
005,Toulouse,2017,217.01
005,Toulouse,2018,219.88
006,Bordeaux,1968,124.23
006,Bordeaux,1975,133.28
006,Bordeaux,1982,142.64
006,Bordeaux,1990,156.15
006,Bordeaux,1999,167.06
006,Bordeaux,2007,183.99
006,Bordeaux,2008,185.49
006,Bordeaux,2012,194.7
006,Bordeaux,2013,198.01
006,Bordeaux,2017,209.55
006,Bordeaux,2018,212.46
008,Nantes,1968,163.72
008,Nantes,1975,180.66
008,Nantes,1982,193.56
008,Nantes,1990,208.07
008,Nantes,1999,228.41
008,Nantes,2007,249.83
008,Nantes,2008,251.67
008,Nantes,2012,264.45
008,Nantes,2013,267.68
008,Nantes,2017,283.28
008,Nantes,2018,287.29
010,Strasbourg (partie française),1968,267.24
010,Strasbourg (partie française),1975,288.25
010,Strasbourg (partie française),1982,301.4
010,Strasbourg (partie française),1990,316.22
010,Strasbourg (partie française),1999,341.34
010,Strasbourg (partie française),2007,359.9
010,Strasbourg (partie française),2008,361.74
010,Strasbourg (partie française),2012,367.07
010,Strasbourg (partie française),2013,369.16
010,Strasbourg (partie française),2017,376.53
010,Strasbourg (partie française),2018,380.07
012,Montpellier,1968,128.42
012,Montpellier,1975,152.97
012,Montpellier,1982,176.76
012,Montpellier,1990,207.91
012,Montpellier,1999,246.14
012,Montpellier,2007,279.97
012,Montpellier,2008,282.05
012,Montpellier,2012,299.42
012,Montpellier,2013,303.81
012,Montpellier,2017,321.37
012,Montpellier,2018,326.28
013,Rennes,1968,103.09
013,Rennes,1975,115.35
013,Rennes,1982,126.15
013,Rennes,1990,137.02
013,Rennes,1999,152.94
013,Rennes,2007,171.07
013,Rennes,2008,173.47
013,Rennes,2012,182.92
013,Rennes,2013,185.6
013,Rennes,2017,194.51
013,Rennes,2018,196.4
014,Grenoble,1968,169.36
014,Grenoble,1975,192.16
014,Grenoble,1982,201.5
014,Grenoble,1990,213.63
014,Grenoble,1999,227.38
014,Grenoble,2007,238.67
014,Grenoble,2008,239.56
014,Grenoble,2012,244.37
014,Grenoble,2013,245.98
014,Grenoble,2017,247.99
014,Grenoble,2018,248.52
015,Rouen,1968,203.8
015,Rouen,1975,217.15
015,Rouen,1982,223.63
015,Rouen,1990,231.56
015,Rouen,1999,237.72
015,Rouen,2007,242.78
015,Rouen,2008,243.84
015,Rouen,2012,247.57
015,Rouen,2013,248.34
015,Rouen,2017,250.45
015,Rouen,2018,251.75
017,Nice,1968,210.5
017,Nice,1975,236.32
017,Nice,1982,248.79
017,Nice,1990,269.42
017,Nice,1999,278.53
017,Nice,2007,293.84
017,Nice,2008,292.62
017,Nice,2012,291.36
017,Nice,2013,290.82
017,Nice,2017,292.57
017,Nice,2018,294.11
018,Toulon,1968,361.84
018,Toulon,1975,401.91
