Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Ancienne région (1972)),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
01,Guadeloupe,1968,187.49
01,Guadeloupe,1975,193.96
01,Guadeloupe,1982,194.83
01,Guadeloupe,1990,217.04
01,Guadeloupe,1999,237.39
01,Guadeloupe,2007,246
01,Guadeloupe,2008,246.74
01,Guadeloupe,2012,247.68
01,Guadeloupe,2013,246.94
01,Guadeloupe,2017,239.65
01,Guadeloupe,2018,238.04
02,Martinique,1968,283.71
02,Martinique,1975,287.97
02,Martinique,1982,291.28
02,Martinique,1990,318.77
02,Martinique,1999,338.14
02,Martinique,2007,352.6
02,Martinique,2008,352.56
02,Martinique,2012,344.29
02,Martinique,2013,341.8
02,Martinique,2017,330.31
02,Martinique,2018,326.94
03,Guyane,1968,0.53
03,Guyane,1975,0.66
03,Guyane,1982,0.87
03,Guyane,1990,1.37
03,Guyane,1999,1.88
03,Guyane,2007,2.55
03,Guyane,2008,2.62
03,Guyane,2012,2.87
03,Guyane,2013,2.92
03,Guyane,2017,3.22
03,Guyane,2018,3.31
04,Réunion,1968,166.36
04,Réunion,1975,190.39
04,Réunion,1982,206.02
04,Réunion,1990,238.77
04,Réunion,1999,282.1
04,Réunion,2007,317.17
04,Réunion,2008,322.82
04,Réunion,2012,333.08
04,Réunion,2013,333.54
04,Réunion,2017,340.96
04,Réunion,2018,341.88
06,Mayotte,1968,
06,Mayotte,1975,
06,Mayotte,1982,
06,Mayotte,1990,
06,Mayotte,1999,
06,Mayotte,2007,
06,Mayotte,2008,
06,Mayotte,2012,
06,Mayotte,2013,
06,Mayotte,2017,
06,Mayotte,2018,
11,île-de-France,1968,769.93
11,île-de-France,1975,822.37
11,île-de-France,1982,838.56
11,île-de-France,1990,887.47
11,île-de-France,1999,911.74
11,île-de-France,2007,965.58
11,île-de-France,2008,970.61
11,île-de-France,2012,990.53
11,île-de-France,2013,995.63
11,île-de-France,2017,1013.54
11,île-de-France,2018,1016.75
21,Champagne-Ardenne,1968,49.95
21,Champagne-Ardenne,1975,52.2
21,Champagne-Ardenne,1982,52.55
21,Champagne-Ardenne,1990,52.63
21,Champagne-Ardenne,1999,52.41
21,Champagne-Ardenne,2007,52.3
21,Champagne-Ardenne,2008,52.24
21,Champagne-Ardenne,2012,52.29
21,Champagne-Ardenne,2013,52.28
21,Champagne-Ardenne,2017,51.85
21,Champagne-Ardenne,2018,51.67
22,Picardie,1968,81.4
22,Picardie,1975,86.56
22,Picardie,1982,89.74
22,Picardie,1990,93.37
22,Picardie,1999,95.78
22,Picardie,2007,97.99
22,Picardie,2008,98.32
22,Picardie,2012,99.13
22,Picardie,2013,99.38
22,Picardie,2017,99.6
22,Picardie,2018,99.58
23,Haute-Normandie,1968,121.56
23,Haute-Normandie,1975,129.55
23,Haute-Normandie,1982,134.39
23,Haute-Normandie,1990,141.04
23,Haute-Normandie,1999,144.53
23,Haute-Normandie,2007,147.49
23,Haute-Normandie,2008,148.22
23,Haute-Normandie,2012,149.83
23,Haute-Normandie,2013,150.17
23,Haute-Normandie,2017,150.7
23,Haute-Normandie,2018,150.67
24,Centre-Val de Loire,1968,50.83
24,Centre-Val de Loire,1975,54.98
24,Centre-Val de Loire,1982,57.83
24,Centre-Val de Loire,1990,60.56
24,Centre-Val de Loire,1999,62.33
24,Centre-Val de Loire,2007,64.54
24,Centre-Val de Loire,2008,64.66
24,Centre-Val de Loire,2012,65.48
24,Centre-Val de Loire,2013,65.66
24,Centre-Val de Loire,2017,65.8
24,Centre-Val de Loire,2018,65.72
25,Basse-Normandie,1968,71.64
25,Basse-Normandie,1975,74.26
25,Basse-Normandie,1982,76.81
25,Basse-Normandie,1990,79.1
25,Basse-Normandie,1999,80.86
25,Basse-Normandie,2007,83.09
25,Basse-Normandie,2008,83.43
25,Basse-Normandie,2012,83.98
25,Basse-Normandie,2013,84.07
25,Basse-Normandie,2017,83.82
25,Basse-Normandie,2018,83.67
26,Bourgogne,1968,47.58
26,Bourgogne,1975,49.74
