Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Arrondissement),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
011,Belley,1968,45.6
011,Belley,1975,48.53
011,Belley,1982,51.76
011,Belley,1990,57.12
011,Belley,1999,61.58
011,Belley,2007,69.35
011,Belley,2008,70.19
011,Belley,2012,73.94
011,Belley,2013,74.79
011,Belley,2017,76.38
011,Belley,2018,76.98
012,Bourg-en-Bresse,1968,63.03
012,Bourg-en-Bresse,1975,68.61
012,Bourg-en-Bresse,1982,77.58
012,Bourg-en-Bresse,1990,86.38
012,Bourg-en-Bresse,1999,95
012,Bourg-en-Bresse,2007,105.54
012,Bourg-en-Bresse,2008,106.69
012,Bourg-en-Bresse,2012,111.32
012,Bourg-en-Bresse,2013,112.51
012,Bourg-en-Bresse,2017,116.13
012,Bourg-en-Bresse,2018,116.81
013,Gex,1968,54.73
013,Gex,1975,82.21
013,Gex,1982,98
013,Gex,1990,125.81
013,Gex,1999,143.02
013,Gex,2007,172.81
013,Gex,2008,178.25
013,Gex,2012,205.39
013,Gex,2013,211.35
013,Gex,2017,234.83
013,Gex,2018,238.45
014,Nantua,1968,70.86
014,Nantua,1975,76.86
014,Nantua,1982,82.16
014,Nantua,1990,90.43
014,Nantua,1999,96.51
014,Nantua,2007,101.45
014,Nantua,2008,101.6
014,Nantua,2012,102.29
014,Nantua,2013,102.4
014,Nantua,2017,103.98
014,Nantua,2018,103.92
021,Château-Thierry,1968,45.31
021,Château-Thierry,1975,47.39
021,Château-Thierry,1982,51.27
021,Château-Thierry,1990,55.99
021,Château-Thierry,1999,58.22
021,Château-Thierry,2007,60.6
021,Château-Thierry,2008,61.11
021,Château-Thierry,2012,61.63
021,Château-Thierry,2013,61.67
021,Château-Thierry,2017,62.82
021,Château-Thierry,2018,63.05
022,Laon,1968,71.52
022,Laon,1975,71.1
022,Laon,1982,71.09
022,Laon,1990,71.36
022,Laon,1999,71.15
022,Laon,2007,72.66
022,Laon,2008,72.55
022,Laon,2012,72.82
022,Laon,2013,72.67
022,Laon,2017,72.04
022,Laon,2018,71.77
023,Saint-Quentin,1968,126.77
023,Saint-Quentin,1975,132.32
023,Saint-Quentin,1982,130.02
023,Saint-Quentin,1990,128.48
023,Saint-Quentin,1999,125.65
023,Saint-Quentin,2007,122.6
023,Saint-Quentin,2008,123.12
023,Saint-Quentin,2012,122.88
023,Saint-Quentin,2013,122.24
023,Saint-Quentin,2017,119.64
023,Saint-Quentin,2018,119.44
024,Soissons,1968,68.82
024,Soissons,1975,73.42
024,Soissons,1982,74.87
024,Soissons,1990,76.98
024,Soissons,1999,77.96
024,Soissons,2007,78.96
024,Soissons,2008,79.2
024,Soissons,2012,80.34
024,Soissons,2013,80.66
024,Soissons,2017,80.41
024,Soissons,2018,80.24
025,Vervins,1968,55.31
025,Vervins,1975,51.89
025,Vervins,1982,49.68
025,Vervins,1990,47.41
025,Vervins,1999,46.14
025,Vervins,2007,45.14
025,Vervins,2008,44.99
025,Vervins,2012,44.79
025,Vervins,2013,44.61
025,Vervins,2017,43.21
025,Vervins,2018,42.97
031,Montluçon,1968,63.35
031,Montluçon,1975,61.67
031,Montluçon,1982,59.03
031,Montluçon,1990,56.17
031,Montluçon,1999,53.59
031,Montluçon,2007,52.98
031,Montluçon,2008,52.95
031,Montluçon,2012,52.43
031,Montluçon,2013,52.37
031,Montluçon,2017,50.84
031,Montluçon,2018,50.38
032,Moulins,1968,39.47
032,Moulins,1975,38.85
032,Moulins,1982,38.39
032,Moulins,1990,37.47
032,Moulins,1999,36.16
032,Moulins,2007,35.85
032,Moulins,2008,35.76
032,Moulins,2012,35.67
032,Moulins,2013,35.79
032,Moulins,2017,35.85
032,Moulins,2018,35.68
033,Vichy,1968,59.89
033,Vichy,1975,58.69
033,Vichy,1982,57.86
033,Vichy,1990,56.5
033,Vichy,1999,54.88
033,Vichy,2007,55.15
033,Vichy,2008,55.15
033,Vichy,2012,55.81
033,Vichy,2013,55.93
033,Vichy,2017,54.88
033,Vichy,2018,55.17
041,Barcelonnette,1968,5.7
041,Barcelonnette,1975,6.16
041,Barcelonnette,1982,6.51
041,Barcelonnette,1990,7.05
041,Barcelonnette,1999,7.36
041,Barcelonnette,2007,7.8
041,Barcelonnette,2008,7.82
041,Barcelonnette,2012,7.8
041,Barcelonnette,2013,7.83
041,Barcelonnette,2017,7.65
041,Barcelonnette,2018,7.59
042,Castellane,1968,5.04
042,Castellane,1975,4.75
042,Castellane,1982,5.1
042,Castellane,1990,5.43
042,Castellane,1999,5.55
042,Castellane,2007,6.37
042,Castellane,2008,6.41
042,Castellane,2012,6.48
042,Castellane,2013,6.47
042,Castellane,2017,6.68
042,Castellane,2018,6.66
043,Digne-les-Bains,1968,22.01
043,Digne-les-Bains,1975,23.07
043,Digne-les-Bains,1982,23.81
043,Digne-les-Bains,1990,25.91
043,Digne-les-Bains,1999,27.27
043,Digne-les-Bains,2007,29.95
043,Digne-les-Bains,2008,30.2
043,Digne-les-Bains,2012,30.31
043,Digne-les-Bains,2013,30.15
043,Digne-les-Bains,2017,30.25
043,Digne-les-Bains,2018,30.1
044,Forcalquier,1968,21.36
044,Forcalquier,1975,23.56
044,Forcalquier,1982,25.38
044,Forcalquier,1990,28.22
044,Forcalquier,1999,30.52
044,Forcalquier,2007,34.53
044,Forcalquier,2008,35.07
044,Forcalquier,2012,36.22
044,Forcalquier,2013,36.58
044,Forcalquier,2017,37.21
044,Forcalquier,2018,37.4
051,Briançon,1968,11.02
051,Briançon,1975,11.85
051,Briançon,1982,13.3
051,Briançon,1990,14.52
051,Briançon,1999,15.02
051,Briançon,2007,16.03
051,Briançon,2008,16.14
051,Briançon,2012,16.66
051,Briançon,2013,16.62
051,Briançon,2017,16.32
051,Briançon,2018,16
052,Gap,1968,20
052,Gap,1975,21.12
052,Gap,1982,22.47
052,Gap,1990,24.12
052,Gap,1999,26.18
052,Gap,2007,28.79
052,Gap,2008,29.23
052,Gap,2012,30.47
052,Gap,2013,30.42
052,Gap,2017,31.19
052,Gap,2018,31.23
061,Grasse,1968,225.12
061,Grasse,1975,279.07
061,Grasse,1982,329.05
061,Grasse,1990,382.13
061,Grasse,1999,409.86
061,Grasse,2007,451.88
061,Grasse,2008,455.25
061,Grasse,2012,454.6
061,Grasse,2013,455.1
061,Grasse,2017,457.21
061,Grasse,2018,457.37
062,Nice,1968,145.04
062,Nice,1975,154.23
062,Nice,1982,155.2
062,Nice,1990,163.44
062,Nice,1999,165.19
062,Nice,2007,171.52
062,Nice,2008,170.8
062,Nice,2012,170.27
062,Nice,2013,169.67
062,Nice,2017,169.65
062,Nice,2018,170.54
071,Largentière,1968,30.03
071,Largentière,1975,29.8
071,Largentière,1982,30.42
071,Largentière,1990,31.04
071,Largentière,1999,32.2
071,Largentière,2007,35.83
071,Largentière,2008,36.11
071,Largentière,2012,37.21
071,Largentière,2013,37.59
071,Largentière,2017,38.45
071,Largentière,2018,38.59
072,Privas,1968,60.59
072,Privas,1975,59.1
072,Privas,1982,62.67
072,Privas,1990,64.6
072,Privas,1999,66.48
072,Privas,2007,70.53
072,Privas,2008,71.05
072,Privas,2012,73.12
072,Privas,2013,73.59
072,Privas,2017,74.21
072,Privas,2018,74.52
073,Tournon-sur-Rhône,1968,62.21
073,Tournon-sur-Rhône,1975,63.63
073,Tournon-sur-Rhône,1982,66.61
073,Tournon-sur-Rhône,1990,69.92
073,Tournon-sur-Rhône,1999,71.77
073,Tournon-sur-Rhône,2007,77.07
073,Tournon-sur-Rhône,2008,77.45
073,Tournon-sur-Rhône,2012,78.41
073,Tournon-sur-Rhône,2013,78.65
073,Tournon-sur-Rhône,2017,80.01
073,Tournon-sur-Rhône,2018,80.1
081,Charleville-Mézières,1968,97.52
081,Charleville-Mézières,1975,98.85
081,Charleville-Mézières,1982,97.06
081,Charleville-Mézières,1990,96.08
081,Charleville-Mézières,1999,94.02
081,Charleville-Mézières,2007,90.42
081,Charleville-Mézières,2008,90.1
081,Charleville-Mézières,2012,89.39
081,Charleville-Mézières,2013,88.7
081,Charleville-Mézières,2017,86.05
081,Charleville-Mézières,2018,85.49
082,Rethel,1968,30.06
082,Rethel,1975,28.96
082,Rethel,1982,28.56
082,Rethel,1990,28.52
082,Rethel,1999,28.3
082,Rethel,2007,29.45
082,Rethel,2008,29.72
082,Rethel,2012,30.73
082,Rethel,2013,30.71
082,Rethel,2017,31.18
082,Rethel,2018,31.11
083,Sedan,1968,84.77
083,Sedan,1975,86.14
083,Sedan,1982,84.36
083,Sedan,1990,80.3
083,Sedan,1999,78.38
083,Sedan,2007,78.29
083,Sedan,2008,77.83
