Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Bassin de vie (2012)),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
01004,Ambérieu-en-Bugey,1968,67.97
01004,Ambérieu-en-Bugey,1975,69.53
01004,Ambérieu-en-Bugey,1982,74
01004,Ambérieu-en-Bugey,1990,81.08
01004,Ambérieu-en-Bugey,1999,88.24
01004,Ambérieu-en-Bugey,2007,100.42
01004,Ambérieu-en-Bugey,2008,101.49
01004,Ambérieu-en-Bugey,2012,108.43
01004,Ambérieu-en-Bugey,2013,109.82
01004,Ambérieu-en-Bugey,2017,112.41
01004,Ambérieu-en-Bugey,2018,113.03
01033,Valserhône,1968,58.35
01033,Valserhône,1975,61.67
01033,Valserhône,1982,60.72
01033,Valserhône,1990,64.84
01033,Valserhône,1999,68.35
01033,Valserhône,2007,75.01
01033,Valserhône,2008,76.52
01033,Valserhône,2012,80.56
01033,Valserhône,2013,81.42
01033,Valserhône,2017,85.58
01033,Valserhône,2018,86.01
01034,Belley,1968,45.34
01034,Belley,1975,45.96
01034,Belley,1982,48.96
01034,Belley,1990,50.32
01034,Belley,1999,52.7
01034,Belley,2007,58.74
01034,Belley,2008,59.53
01034,Belley,2012,62.09
01034,Belley,2013,62.4
01034,Belley,2017,63.81
01034,Belley,2018,64.07
01053,Bourg-en-Bresse,1968,92.17
01053,Bourg-en-Bresse,1975,102.75
01053,Bourg-en-Bresse,1982,111.37
01053,Bourg-en-Bresse,1990,118.18
01053,Bourg-en-Bresse,1999,124.9
01053,Bourg-en-Bresse,2007,133.02
01053,Bourg-en-Bresse,2008,133.52
01053,Bourg-en-Bresse,2012,137.38
01053,Bourg-en-Bresse,2013,138.63
01053,Bourg-en-Bresse,2017,142.69
01053,Bourg-en-Bresse,2018,143.12
01093,Châtillon-sur-Chalaronne,1968,33.39
01093,Châtillon-sur-Chalaronne,1975,35.48
01093,Châtillon-sur-Chalaronne,1982,38.41
01093,Châtillon-sur-Chalaronne,1990,42.89
01093,Châtillon-sur-Chalaronne,1999,47.58
01093,Châtillon-sur-Chalaronne,2007,57.18
01093,Châtillon-sur-Chalaronne,2008,57.48
01093,Châtillon-sur-Chalaronne,2012,57.72
01093,Châtillon-sur-Chalaronne,2013,58.08
01093,Châtillon-sur-Chalaronne,2017,58.55
01093,Châtillon-sur-Chalaronne,2018,59.03
01134,Crottet - Pont-de-Veyle,1968,69.38
01134,Crottet - Pont-de-Veyle,1975,73.94
01134,Crottet - Pont-de-Veyle,1982,82.87
01134,Crottet - Pont-de-Veyle,1990,98.47
01134,Crottet - Pont-de-Veyle,1999,105.99
01134,Crottet - Pont-de-Veyle,2007,117.13
01134,Crottet - Pont-de-Veyle,2008,119.47
01134,Crottet - Pont-de-Veyle,2012,124.38
01134,Crottet - Pont-de-Veyle,2013,124.76
01134,Crottet - Pont-de-Veyle,2017,127.51
01134,Crottet - Pont-de-Veyle,2018,129.79
01143,Divonne-les-Bains,1968,86.47
01143,Divonne-les-Bains,1975,112.52
01143,Divonne-les-Bains,1982,128.15
01143,Divonne-les-Bains,1990,150.17
01143,Divonne-les-Bains,1999,163.92
01143,Divonne-les-Bains,2007,199.35
01143,Divonne-les-Bains,2008,205.78
01143,Divonne-les-Bains,2012,227.02
01143,Divonne-les-Bains,2013,230.59
01143,Divonne-les-Bains,2017,253.19
01143,Divonne-les-Bains,2018,256.72
01173,Gex,1968,46.16
01173,Gex,1975,68.69
01173,Gex,1982,85.65
01173,Gex,1990,123.68
01173,Gex,1999,140.02
01173,Gex,2007,173.71
01173,Gex,2008,178.67
01173,Gex,2012,197.42
01173,Gex,2013,202.48
01173,Gex,2017,227.24
01173,Gex,2018,226.39
01185,Plateau d'Hauteville,1968,28.01
01185,Plateau d'Hauteville,1975,26.04
01185,Plateau d'Hauteville,1982,24.55
01185,Plateau d'Hauteville,1990,25.15
01185,Plateau d'Hauteville,1999,24.26
01185,Plateau d'Hauteville,2007,26.4
01185,Plateau d'Hauteville,2008,26.75
01185,Plateau d'Hauteville,2012,26.31
01185,Plateau d'Hauteville,2013,26.2
01185,Plateau d'Hauteville,2017,25.26
01185,Plateau d'Hauteville,2018,25.15
01202,Lagnieu,1968,57.45
01202,Lagnieu,1975,72.12
01202,Lagnieu,1982,74.06
01202,Lagnieu,1990,84.02
01202,Lagnieu,1999,91.28
01202,Lagnieu,2007,109.07
01202,Lagnieu,2008,109.73
01202,Lagnieu,2012,113.02
01202,Lagnieu,2013,114.92
01202,Lagnieu,2017,121.1
01202,Lagnieu,2018,122.03
01244,Meximieux,1968,36.46
01244,Meximieux,1975,44.22
01244,Meximieux,1982,54.19
01244,Meximieux,1990,71.65
01244,Meximieux,1999,84.44
01244,Meximieux,2007,96.01
01244,Meximieux,2008,97.69
01244,Meximieux,2012,101.8
01244,Meximieux,2013,103.18
01244,Meximieux,2017,107.24
01244,Meximieux,2018,109.23
01266,Montrevel-en-Bresse,1968,42.63
01266,Montrevel-en-Bresse,1975,41.59
01266,Montrevel-en-Bresse,1982,44.67
01266,Montrevel-en-Bresse,1990,45.82
01266,Montrevel-en-Bresse,1999,49.01
01266,Montrevel-en-Bresse,2007,58.11
01266,Montrevel-en-Bresse,2008,59.16
01266,Montrevel-en-Bresse,2012,64.46
01266,Montrevel-en-Bresse,2013,65.6
01266,Montrevel-en-Bresse,2017,67.14
01266,Montrevel-en-Bresse,2018,67.22
01269,Nantua,1968,45.3
01269,Nantua,1975,49.06
01269,Nantua,1982,54.91
