Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Canton-ou-ville),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
0101,Ambérieu-en-Bugey,1968,84.9
0101,Ambérieu-en-Bugey,1975,87.33
0101,Ambérieu-en-Bugey,1982,93.5
0101,Ambérieu-en-Bugey,1990,101.98
0101,Ambérieu-en-Bugey,1999,110.53
0101,Ambérieu-en-Bugey,2007,122.82
0101,Ambérieu-en-Bugey,2008,123.97
0101,Ambérieu-en-Bugey,2012,134.13
0101,Ambérieu-en-Bugey,2013,135.86
0101,Ambérieu-en-Bugey,2017,137.29
0101,Ambérieu-en-Bugey,2018,138.35
0102,Attignat,1968,47.18
0102,Attignat,1975,48.33
0102,Attignat,1982,54.87
0102,Attignat,1990,58.04
0102,Attignat,1999,63.12
0102,Attignat,2007,77.32
0102,Attignat,2008,78.8
0102,Attignat,2012,85.63
0102,Attignat,2013,87.37
0102,Attignat,2017,89.84
0102,Attignat,2018,90.13
0103,Valserhône,1968,74.31
0103,Valserhône,1975,78.26
0103,Valserhône,1982,76.33
0103,Valserhône,1990,79.8
0103,Valserhône,1999,83.25
0103,Valserhône,2007,88.98
0103,Valserhône,2008,90.1
0103,Valserhône,2012,92.55
0103,Valserhône,2013,93.27
0103,Valserhône,2017,96.78
0103,Valserhône,2018,97
0104,Belley,1968,47.79
0104,Belley,1975,48.89
0104,Belley,1982,53.2
0104,Belley,1990,54.61
0104,Belley,1999,58.52
0104,Belley,2007,68.84
0104,Belley,2008,67.44
0104,Belley,2012,74.05
0104,Belley,2013,71.55
0104,Belley,2017,76.05
0104,Belley,2018,73.39
0105,Bourg-en-Bresse-1,1968,66.89
0105,Bourg-en-Bresse-1,1975,79.1
0105,Bourg-en-Bresse-1,1982,88.76
0105,Bourg-en-Bresse-1,1990,104.4
0105,Bourg-en-Bresse-1,1999,117.43
0105,Bourg-en-Bresse-1,2007,127
0105,Bourg-en-Bresse-1,2008,127.36
0105,Bourg-en-Bresse-1,2012,136.8
0105,Bourg-en-Bresse-1,2013,138.97
0105,Bourg-en-Bresse-1,2017,142.53
0105,Bourg-en-Bresse-1,2018,145.57
0106,Bourg-en-Bresse-2,1968,135.54
0106,Bourg-en-Bresse-2,1975,182.24
0106,Bourg-en-Bresse-2,1982,226.02
0106,Bourg-en-Bresse-2,1990,270.99
0106,Bourg-en-Bresse-2,1999,300.4
0106,Bourg-en-Bresse-2,2007,321.81
0106,Bourg-en-Bresse-2,2008,325.22
0106,Bourg-en-Bresse-2,2012,334.92
0106,Bourg-en-Bresse-2,2013,335.64
0106,Bourg-en-Bresse-2,2017,349.93
0106,Bourg-en-Bresse-2,2018,355.75
0107,Ceyzériat,1968,29.18
0107,Ceyzériat,1975,31.64
0107,Ceyzériat,1982,39.28
0107,Ceyzériat,1990,43.79
0107,Ceyzériat,1999,50.3
0107,Ceyzériat,2007,59.8
0107,Ceyzériat,2008,60.94
0107,Ceyzériat,2012,64.53
0107,Ceyzériat,2013,65.19
0107,Ceyzériat,2017,67.39
0107,Ceyzériat,2018,67.91
0108,Châtillon-sur-Chalaronne,1968,43.94
0108,Châtillon-sur-Chalaronne,1975,46.13
0108,Châtillon-sur-Chalaronne,1982,52.36
0108,Châtillon-sur-Chalaronne,1990,58.12
0108,Châtillon-sur-Chalaronne,1999,64.89
0108,Châtillon-sur-Chalaronne,2007,77.66
0108,Châtillon-sur-Chalaronne,2008,78.52
0108,Châtillon-sur-Chalaronne,2012,82.02
0108,Châtillon-sur-Chalaronne,2013,82.66
0108,Châtillon-sur-Chalaronne,2017,84.23
0108,Châtillon-sur-Chalaronne,2018,84.62
0109,Gex,1968,79.37
0109,Gex,1975,113.06
0109,Gex,1982,134.4
0109,Gex,1990,182.03
0109,Gex,1999,203.27
0109,Gex,2007,252.25
0109,Gex,2008,260.02
0109,Gex,2012,286.52
0109,Gex,2013,292.07
0109,Gex,2017,326.85
0109,Gex,2018,327.62
0110,Hauteville-Lompnes,1968,31.09
0110,Hauteville-Lompnes,1975,30.11
0110,Hauteville-Lompnes,1982,29.52
0110,Hauteville-Lompnes,1990,30.27
0110,Hauteville-Lompnes,1999,30.25
0110,Hauteville-Lompnes,2007,33.84
0110,Hauteville-Lompnes,2008,34.25
0110,Hauteville-Lompnes,2012,34.76
0110,Hauteville-Lompnes,2013,34.93
0110,Hauteville-Lompnes,2017,34.81
0110,Hauteville-Lompnes,2018,34.79
0111,Lagnieu,1968,41.1
0111,Lagnieu,1975,50.09
0111,Lagnieu,1982,53.74
0111,Lagnieu,1990,62.56
0111,Lagnieu,1999,70
0111,Lagnieu,2007,81.39
0111,Lagnieu,2008,82.47
0111,Lagnieu,2012,87.53
0111,Lagnieu,2013,89.01
0111,Lagnieu,2017,92.35
0111,Lagnieu,2018,93.44
0112,Meximieux,1968,53.9
0112,Meximieux,1975,68.14
0112,Meximieux,1982,82.86
0112,Meximieux,1990,109.37
0112,Meximieux,1999,122.01
0112,Meximieux,2007,134.1
0112,Meximieux,2008,135.29
