Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (CRTE),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
crte-01-971-1,CRTE CAP Excellence,1968,591.42
crte-01-971-1,CRTE CAP Excellence,1975,660.78
crte-01-971-1,CRTE CAP Excellence,1982,707.8
crte-01-971-1,CRTE CAP Excellence,1990,798.01
crte-01-971-1,CRTE CAP Excellence,1999,826.66
crte-01-971-1,CRTE CAP Excellence,2007,809.72
crte-01-971-1,CRTE CAP Excellence,2008,815.86
crte-01-971-1,CRTE CAP Excellence,2012,801.94
crte-01-971-1,CRTE CAP Excellence,2013,799.02
crte-01-971-1,CRTE CAP Excellence,2017,772.4
crte-01-971-1,CRTE CAP Excellence,2018,767.34
crte-01-971-2,CRTE du Nord Grande Terre,1968,150.47
crte-01-971-2,CRTE du Nord Grande Terre,1975,151.54
crte-01-971-2,CRTE du Nord Grande Terre,1982,141.76
crte-01-971-2,CRTE du Nord Grande Terre,1990,157.52
crte-01-971-2,CRTE du Nord Grande Terre,1999,173.57
crte-01-971-2,CRTE du Nord Grande Terre,2007,174.42
crte-01-971-2,CRTE du Nord Grande Terre,2008,174.67
crte-01-971-2,CRTE du Nord Grande Terre,2012,179.75
crte-01-971-2,CRTE du Nord Grande Terre,2013,180
crte-01-971-2,CRTE du Nord Grande Terre,2017,178.02
crte-01-971-2,CRTE du Nord Grande Terre,2018,176.14
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,1968,160.79
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,1975,160.76
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,1982,158.07
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,1990,170.66
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,1999,188.42
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,2007,199.28
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,2008,199.36
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,2012,200.24
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,2013,199.03
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,2017,193.8
crte-01-971-3,CRTE Territoire entre mer et montagne de Guadeloupe,2018,192.85
crte-01-971-4,CRTE de Marie-Galante,1968,100.42
crte-01-971-4,CRTE de Marie-Galante,1975,100.7
crte-01-971-4,CRTE de Marie-Galante,1982,87.06
crte-01-971-4,CRTE de Marie-Galante,1990,85.27
crte-01-971-4,CRTE de Marie-Galante,1999,79.03
crte-01-971-4,CRTE de Marie-Galante,2007,75.56
crte-01-971-4,CRTE de Marie-Galante,2008,75.13
crte-01-971-4,CRTE de Marie-Galante,2012,71.44
crte-01-971-4,CRTE de Marie-Galante,2013,70.71
crte-01-971-4,CRTE de Marie-Galante,2017,68.1
crte-01-971-4,CRTE de Marie-Galante,2018,67.43
crte-01-971-5,CRTE La Riviéra du Levant,1968,162.84
crte-01-971-5,CRTE La Riviéra du Levant,1975,168.42
crte-01-971-5,CRTE La Riviéra du Levant,1982,181.98
crte-01-971-5,CRTE La Riviéra du Levant,1990,227.44
crte-01-971-5,CRTE La Riviéra du Levant,1999,279.61
crte-01-971-5,CRTE La Riviéra du Levant,2007,316.77
crte-01-971-5,CRTE La Riviéra du Levant,2008,318.33
crte-01-971-5,CRTE La Riviéra du Levant,2012,325.87
crte-01-971-5,CRTE La Riviéra du Levant,2013,326.78
crte-01-971-5,CRTE La Riviéra du Levant,2017,311.75
crte-01-971-5,CRTE La Riviéra du Levant,2018,309.42
crte-02-972-1,CRTE du Centre de la Martinique,1968,816.77
crte-02-972-1,CRTE du Centre de la Martinique,1975,863.51
crte-02-972-1,CRTE du Centre de la Martinique,1982,909.83
crte-02-972-1,CRTE du Centre de la Martinique,1990,958.94
crte-02-972-1,CRTE du Centre de la Martinique,1999,971.63
crte-02-972-1,CRTE du Centre de la Martinique,2007,982.29
crte-02-972-1,CRTE du Centre de la Martinique,2008,977.33
crte-02-972-1,CRTE du Centre de la Martinique,2012,948.11
crte-02-972-1,CRTE du Centre de la Martinique,2013,941.7
crte-02-972-1,CRTE du Centre de la Martinique,2017,912.8
crte-02-972-1,CRTE du Centre de la Martinique,2018,904.77
crte-02-972-2,CRTE du Pays Nord Martinique,1968,183.88
crte-02-972-2,CRTE du Pays Nord Martinique,1975,183.33
crte-02-972-2,CRTE du Pays Nord Martinique,1982,172.79
crte-02-972-2,CRTE du Pays Nord Martinique,1990,186.65
crte-02-972-2,CRTE du Pays Nord Martinique,1999,197.98
crte-02-972-2,CRTE du Pays Nord Martinique,2007,201.69
crte-02-972-2,CRTE du Pays Nord Martinique,2008,201.01
crte-02-972-2,CRTE du Pays Nord Martinique,2012,193.44
crte-02-972-2,CRTE du Pays Nord Martinique,2013,191.43
crte-02-972-2,CRTE du Pays Nord Martinique,2017,183.16
crte-02-972-2,CRTE du Pays Nord Martinique,2018,180.72
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,1968,194.62
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,1975,187.57
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,1982,191.45
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,1990,228.15
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,1999,261.08
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,2007,291.51
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,2008,294.41
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,2012,293.95
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,2013,292.45
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,2017,283.93
crte-02-972-3,CRTE de l'Espace Sud de la Martinique,2018,281.24
crte-03-973-01,CRTE des Savanes,1968,0.53
crte-03-973-01,CRTE des Savanes,1975,0.68
crte-03-973-01,CRTE des Savanes,1982,0.85
crte-03-973-01,CRTE des Savanes,1990,1.59
crte-03-973-01,CRTE des Savanes,1999,1.97
crte-03-973-01,CRTE des Savanes,2008,2.65
crte-03-973-01,CRTE des Savanes,2013,2.59
crte-03-973-01,CRTE des Savanes,2018,2.5
crte-03-973-02,CRTE de l’Ouest Guyanais,1968,0.2
crte-03-973-02,CRTE de l’Ouest Guyanais,1975,0.23
crte-03-973-02,CRTE de l’Ouest Guyanais,1982,0.28
crte-03-973-02,CRTE de l’Ouest Guyanais,1990,0.63
crte-03-973-02,CRTE de l’Ouest Guyanais,1999,0.92
crte-03-973-02,CRTE de l’Ouest Guyanais,2008,1.61
crte-03-973-02,CRTE de l’Ouest Guyanais,2013,2.04
crte-03-973-02,CRTE de l’Ouest Guyanais,2018,2.31
crte-03-973-03,CRTE du Centre Littoral,1968,5.55
crte-03-973-03,CRTE du Centre Littoral,1975,7.04
crte-03-973-03,CRTE du Centre Littoral,1982,9.66
crte-03-973-03,CRTE du Centre Littoral,1990,13.13
crte-03-973-03,CRTE du Centre Littoral,1999,18.1
crte-03-973-03,CRTE du Centre Littoral,2008,22.69
crte-03-973-03,CRTE du Centre Littoral,2013,24.2
crte-03-973-03,CRTE du Centre Littoral,2018,28.41
crte-04-974-1,CRTE CIVIS,1968,242.27
crte-04-974-1,CRTE CIVIS,1975,268.31
crte-04-974-1,CRTE CIVIS,1982,285.78
crte-04-974-1,CRTE CIVIS,1990,332.36
crte-04-974-1,CRTE CIVIS,1999,390.4
crte-04-974-1,CRTE CIVIS,2007,439.35
crte-04-974-1,CRTE CIVIS,2008,445.21
crte-04-974-1,CRTE CIVIS,2012,463.5
crte-04-974-1,CRTE CIVIS,2013,465.1
crte-04-974-1,CRTE CIVIS,2017,477.16
crte-04-974-1,CRTE CIVIS,2018,480.52
crte-04-974-2,CRTE du Sud de La Réunion,1968,107.66
crte-04-974-2,CRTE du Sud de La Réunion,1975,118.57
crte-04-974-2,CRTE du Sud de La Réunion,1982,125.79
crte-04-974-2,CRTE du Sud de La Réunion,1990,144.3
crte-04-974-2,CRTE du Sud de La Réunion,1999,178.23
crte-04-974-2,CRTE du Sud de La Réunion,2007,205.66
crte-04-974-2,CRTE du Sud de La Réunion,2008,209.36
crte-04-974-2,CRTE du Sud de La Réunion,2012,219.9
crte-04-974-2,CRTE du Sud de La Réunion,2013,221.79
crte-04-974-2,CRTE du Sud de La Réunion,2017,227.44
crte-04-974-2,CRTE du Sud de La Réunion,2018,228.38
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,1968,171.01
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,1975,204.75
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,1982,228.75
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,1990,276.76
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,1999,334.96
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,2007,377.63
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,2008,385.34
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,2012,395.68
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,2013,394.78
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,2017,395.35
crte-04-974-3,CRTE de la Côte Ouest de La Réunion,2018,392.64
crte-04-974-4,CRTE du Nord de la Réunion,1968,385.5
crte-04-974-4,CRTE du Nord de la Réunion,1975,458.8
crte-04-974-4,CRTE du Nord de la Réunion,1982,484.71
crte-04-974-4,CRTE du Nord de la Réunion,1990,544.93
crte-04-974-4,CRTE du Nord de la Réunion,1999,612.43
crte-04-974-4,CRTE du Nord de la Réunion,2008,686.02
crte-04-974-4,CRTE du Nord de la Réunion,2013,685.3
crte-04-974-4,CRTE du Nord de la Réunion,2018,720.84
crte-04-974-5,CRTE de la Réunion Est,1968,83.29
crte-04-974-5,CRTE de la Réunion Est,1975,89.97
crte-04-974-5,CRTE de la Réunion Est,1982,100.99
crte-04-974-5,CRTE de la Réunion Est,1990,115.69
crte-04-974-5,CRTE de la Réunion Est,1999,138.35
crte-04-974-5,CRTE de la Réunion Est,2008,159.28
crte-04-974-5,CRTE de la Réunion Est,2013,169.4
crte-04-974-5,CRTE de la Réunion Est,2018,172.42
crte-06-976-1,CRTE de Petite-Terre,1968,
crte-06-976-1,CRTE de Petite-Terre,1975,
crte-06-976-1,CRTE de Petite-Terre,1982,
crte-06-976-1,CRTE de Petite-Terre,1990,
crte-06-976-1,CRTE de Petite-Terre,1999,
crte-06-976-1,CRTE de Petite-Terre,2008,
crte-06-976-1,CRTE de Petite-Terre,2013,
crte-06-976-1,CRTE de Petite-Terre,2018,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,1968,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,1975,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,1982,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,1990,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,1999,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,2008,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,2013,
crte-06-976-2,CRTE du Centre-Ouest de Mayotte,2018,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,1968,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,1975,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,1982,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,1990,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,1999,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,2008,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,2013,
crte-06-976-3,CRTE de Dembeni / Mamoudzou,2018,
crte-06-976-4,CRTE du Grand Nord de Mayotte,1968,
crte-06-976-4,CRTE du Grand Nord de Mayotte,1975,
crte-06-976-4,CRTE du Grand Nord de Mayotte,1982,
crte-06-976-4,CRTE du Grand Nord de Mayotte,1990,
crte-06-976-4,CRTE du Grand Nord de Mayotte,1999,
crte-06-976-4,CRTE du Grand Nord de Mayotte,2008,
crte-06-976-4,CRTE du Grand Nord de Mayotte,2013,
crte-06-976-4,CRTE du Grand Nord de Mayotte,2018,
crte-06-976-5,CRTE du Sud de Mayotte,1968,
crte-06-976-5,CRTE du Sud de Mayotte,1975,
crte-06-976-5,CRTE du Sud de Mayotte,1982,
crte-06-976-5,CRTE du Sud de Mayotte,1990,
crte-06-976-5,CRTE du Sud de Mayotte,1999,
crte-06-976-5,CRTE du Sud de Mayotte,2008,
crte-06-976-5,CRTE du Sud de Mayotte,2013,
crte-06-976-5,CRTE du Sud de Mayotte,2018,
crte-11-75929394-1,CRTE Métropole du Grand Paris,1968,8139.28
crte-11-75929394-1,CRTE Métropole du Grand Paris,1975,7990.99
crte-11-75929394-1,CRTE Métropole du Grand Paris,1982,7733.16
crte-11-75929394-1,CRTE Métropole du Grand Paris,1990,7806.03
crte-11-75929394-1,CRTE Métropole du Grand Paris,1999,7840.29
crte-11-75929394-1,CRTE Métropole du Grand Paris,2007,8323.42
crte-11-75929394-1,CRTE Métropole du Grand Paris,2008,8369.26
crte-11-75929394-1,CRTE Métropole du Grand Paris,2012,8529.8
crte-11-75929394-1,CRTE Métropole du Grand Paris,2013,8557.74
crte-11-75929394-1,CRTE Métropole du Grand Paris,2017,8668.09
crte-11-75929394-1,CRTE Métropole du Grand Paris,2018,8689.12
crte-11-77-1,CRTE Coulommiers Pays de Brie,1968,78.14
crte-11-77-1,CRTE Coulommiers Pays de Brie,1975,86.21
crte-11-77-1,CRTE Coulommiers Pays de Brie,1982,97.94
crte-11-77-1,CRTE Coulommiers Pays de Brie,1990,119
crte-11-77-1,CRTE Coulommiers Pays de Brie,1999,132.87
crte-11-77-1,CRTE Coulommiers Pays de Brie,2007,144.18
crte-11-77-1,CRTE Coulommiers Pays de Brie,2008,145.7
crte-11-77-1,CRTE Coulommiers Pays de Brie,2012,152.24
crte-11-77-1,CRTE Coulommiers Pays de Brie,2013,153.43
crte-11-77-1,CRTE Coulommiers Pays de Brie,2017,157.27
crte-11-77-1,CRTE Coulommiers Pays de Brie,2018,158.15
crte-11-77-10,CRTE Plaines et Monts de France,1968,48.81
crte-11-77-10,CRTE Plaines et Monts de France,1975,64.06
crte-11-77-10,CRTE Plaines et Monts de France,1982,82.54
