Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (EPCI / EPT (2021)),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
200000172,CC Faucigny-Glières,1968,77.5
200000172,CC Faucigny-Glières,1975,97.17
200000172,CC Faucigny-Glières,1982,109.13
200000172,CC Faucigny-Glières,1990,127.9
200000172,CC Faucigny-Glières,1999,143.49
200000172,CC Faucigny-Glières,2007,162.22
200000172,CC Faucigny-Glières,2008,166.45
200000172,CC Faucigny-Glières,2012,174.52
200000172,CC Faucigny-Glières,2013,176.45
200000172,CC Faucigny-Glières,2017,180.03
200000172,CC Faucigny-Glières,2018,180.28
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1968,63.01
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1975,65.75
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1982,75.41
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1990,78.75
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1999,77.43
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2007,90.48
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2008,93.01
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2012,101.43
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2013,103.23
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2017,108.01
200000438,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,2018,108.46
200000545,CC des Portes de Romilly-sur-Seine,1968,192.67
200000545,CC des Portes de Romilly-sur-Seine,1975,201.24
200000545,CC des Portes de Romilly-sur-Seine,1982,190.87
200000545,CC des Portes de Romilly-sur-Seine,1990,187.34
200000545,CC des Portes de Romilly-sur-Seine,1999,178.15
200000545,CC des Portes de Romilly-sur-Seine,2007,174.09
200000545,CC des Portes de Romilly-sur-Seine,2008,170.62
200000545,CC des Portes de Romilly-sur-Seine,2012,172.98
200000545,CC des Portes de Romilly-sur-Seine,2013,176.62
200000545,CC des Portes de Romilly-sur-Seine,2017,177.22
200000545,CC des Portes de Romilly-sur-Seine,2018,175.88
200000628,CC Rhône Lez Provence,1968,119.86
200000628,CC Rhône Lez Provence,1975,117.69
200000628,CC Rhône Lez Provence,1982,138.79
200000628,CC Rhône Lez Provence,1990,151.9
200000628,CC Rhône Lez Provence,1999,155.79
200000628,CC Rhône Lez Provence,2007,157.38
200000628,CC Rhône Lez Provence,2008,159.02
200000628,CC Rhône Lez Provence,2012,163.61
200000628,CC Rhône Lez Provence,2013,161.26
200000628,CC Rhône Lez Provence,2017,159.26
200000628,CC Rhône Lez Provence,2018,159.19
200000800,CC Cœur de Sologne,1968,25.88
200000800,CC Cœur de Sologne,1975,27.48
200000800,CC Cœur de Sologne,1982,27.8
200000800,CC Cœur de Sologne,1990,27.28
200000800,CC Cœur de Sologne,1999,28
200000800,CC Cœur de Sologne,2007,31.21
200000800,CC Cœur de Sologne,2008,31.18
200000800,CC Cœur de Sologne,2012,31.64
200000800,CC Cœur de Sologne,2013,31.72
200000800,CC Cœur de Sologne,2017,31.26
200000800,CC Cœur de Sologne,2018,31.13
200000925,CC de la Plaine Dijonnaise,1968,48.29
200000925,CC de la Plaine Dijonnaise,1975,56.17
200000925,CC de la Plaine Dijonnaise,1982,71.86
200000925,CC de la Plaine Dijonnaise,1990,86.51
200000925,CC de la Plaine Dijonnaise,1999,91.54
200000925,CC de la Plaine Dijonnaise,2007,104.34
200000925,CC de la Plaine Dijonnaise,2008,105.4
200000925,CC de la Plaine Dijonnaise,2012,106.88
200000925,CC de la Plaine Dijonnaise,2013,107.38
200000925,CC de la Plaine Dijonnaise,2017,107.67
200000925,CC de la Plaine Dijonnaise,2018,107.66
200000933,CC Sauldre et Sologne,1968,16.63
200000933,CC Sauldre et Sologne,1975,16.33
200000933,CC Sauldre et Sologne,1982,16.79
200000933,CC Sauldre et Sologne,1990,16.12
200000933,CC Sauldre et Sologne,1999,16.15
200000933,CC Sauldre et Sologne,2007,16.93
200000933,CC Sauldre et Sologne,2008,16.08
200000933,CC Sauldre et Sologne,2012,16.55
200000933,CC Sauldre et Sologne,2013,15.55
200000933,CC Sauldre et Sologne,2017,16.04
200000933,CC Sauldre et Sologne,2018,15.04
200004802,CC du Pays de Fayence,1968,18.41
200004802,CC du Pays de Fayence,1975,22.14
200004802,CC du Pays de Fayence,1982,28.22
200004802,CC du Pays de Fayence,1990,37.16
200004802,CC du Pays de Fayence,1999,49.27
200004802,CC du Pays de Fayence,2007,60.01
200004802,CC du Pays de Fayence,2008,61.42
200004802,CC du Pays de Fayence,2012,66.59
200004802,CC du Pays de Fayence,2013,67.47
200004802,CC du Pays de Fayence,2017,69.58
200004802,CC du Pays de Fayence,2018,69.89
200005932,CC des Portes de Sologne,1968,19.65
200005932,CC des Portes de Sologne,1975,20.42
200005932,CC des Portes de Sologne,1982,26.65
200005932,CC des Portes de Sologne,1990,30.87
200005932,CC des Portes de Sologne,1999,33.46
200005932,CC des Portes de Sologne,2007,35.78
200005932,CC des Portes de Sologne,2008,35.99
200005932,CC des Portes de Sologne,2012,36.38
200005932,CC des Portes de Sologne,2013,36.48
200005932,CC des Portes de Sologne,2017,37.25
200005932,CC des Portes de Sologne,2018,37.12
200005957,CC de la Région de Rambervillers,1968,43.36
200005957,CC de la Région de Rambervillers,1975,41.43
200005957,CC de la Région de Rambervillers,1982,40.33
200005957,CC de la Région de Rambervillers,1990,39.14
200005957,CC de la Région de Rambervillers,1999,40.33
200005957,CC de la Région de Rambervillers,2007,40.87
200005957,CC de la Région de Rambervillers,2008,41.04
200005957,CC de la Région de Rambervillers,2012,41.37
200005957,CC de la Région de Rambervillers,2013,41.38
200005957,CC de la Région de Rambervillers,2017,39.92
200005957,CC de la Région de Rambervillers,2018,39.7
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1968,75.94
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1975,79.96
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1982,84.65
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1990,88.62
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",1999,91.52
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2007,92.61
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2008,93.58
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2012,94.28
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2013,94.25
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2017,92.66
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2018,92.02
200006716,CC du Nogentais,1968,40.34
200006716,CC du Nogentais,1975,40.41
200006716,CC du Nogentais,1982,42.3
200006716,CC du Nogentais,1990,46.11
200006716,CC du Nogentais,1999,51.87
200006716,CC du Nogentais,2007,54.33
200006716,CC du Nogentais,2008,55.07
200006716,CC du Nogentais,2012,56.67
200006716,CC du Nogentais,2013,56.68
200006716,CC du Nogentais,2017,57.15
200006716,CC du Nogentais,2018,57.09
200006930,CC du Haut-Allier,1968,26.32
200006930,CC du Haut-Allier,1975,23.41
200006930,CC du Haut-Allier,1982,21.73
200006930,CC du Haut-Allier,1990,19.97
200006930,CC du Haut-Allier,1999,18.67
200006930,CC du Haut-Allier,2007,19.44
200006930,CC du Haut-Allier,2008,19.44
200006930,CC du Haut-Allier,2012,18.84
200006930,CC du Haut-Allier,2013,18.75
200006930,CC du Haut-Allier,2017,18.37
200006930,CC du Haut-Allier,2018,18.34
200006971,CC du Perche,1968,60.72
