Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Massif),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
01,Communes classées dans le massif des Vosges,1968,78.24
01,Communes classées dans le massif des Vosges,1975,79.49
01,Communes classées dans le massif des Vosges,1982,79.36
01,Communes classées dans le massif des Vosges,1990,79.34
01,Communes classées dans le massif des Vosges,1999,81.64
01,Communes classées dans le massif des Vosges,2007,84.27
01,Communes classées dans le massif des Vosges,2008,84.41
01,Communes classées dans le massif des Vosges,2012,83.84
01,Communes classées dans le massif des Vosges,2013,83.49
01,Communes classées dans le massif des Vosges,2017,82.17
01,Communes classées dans le massif des Vosges,2018,81.78
02,Communes classées dans le massif du Jura,1968,42.28
02,Communes classées dans le massif du Jura,1975,44.94
02,Communes classées dans le massif du Jura,1982,47.36
02,Communes classées dans le massif du Jura,1990,50.78
02,Communes classées dans le massif du Jura,1999,53.38
02,Communes classées dans le massif du Jura,2007,57.63
02,Communes classées dans le massif du Jura,2008,58.25
02,Communes classées dans le massif du Jura,2012,60.61
02,Communes classées dans le massif du Jura,2013,61.07
02,Communes classées dans le massif du Jura,2017,62.58
02,Communes classées dans le massif du Jura,2018,62.79
03,Communes classées dans le massif des Alpes,1968,41.17
03,Communes classées dans le massif des Alpes,1975,45.91
03,Communes classées dans le massif des Alpes,1982,49.95
03,Communes classées dans le massif des Alpes,1990,55.49
03,Communes classées dans le massif des Alpes,1999,60.35
03,Communes classées dans le massif des Alpes,2007,66.04
03,Communes classées dans le massif des Alpes,2008,66.65
03,Communes classées dans le massif des Alpes,2012,68.99
03,Communes classées dans le massif des Alpes,2013,69.67
03,Communes classées dans le massif des Alpes,2017,71.26
03,Communes classées dans le massif des Alpes,2018,71.61
04,Communes classées dans le massif de Guadeloupe,1968,230.44
04,Communes classées dans le massif de Guadeloupe,1975,249.65
04,Communes classées dans le massif de Guadeloupe,1982,250.56
04,Communes classées dans le massif de Guadeloupe,1990,281.42
04,Communes classées dans le massif de Guadeloupe,1999,300.27
04,Communes classées dans le massif de Guadeloupe,2007,302.59
04,Communes classées dans le massif de Guadeloupe,2008,301.96
04,Communes classées dans le massif de Guadeloupe,2012,300.54
04,Communes classées dans le massif de Guadeloupe,2013,299.22
04,Communes classées dans le massif de Guadeloupe,2017,287.97
04,Communes classées dans le massif de Guadeloupe,2018,285.92
05,Communes classées dans le massif de Corse,1968,23.65
05,Communes classées dans le massif de Corse,1975,25.99
05,Communes classées dans le massif de Corse,1982,27.67
05,Communes classées dans le massif de Corse,1990,28.85
05,Communes classées dans le massif de Corse,1999,29.98
05,Communes classées dans le massif de Corse,2007,34.47
05,Communes classées dans le massif de Corse,2008,34.9
05,Communes classées dans le massif de Corse,2012,36.44
05,Communes classées dans le massif de Corse,2013,36.89
05,Communes classées dans le massif de Corse,2017,38.59
05,Communes classées dans le massif de Corse,2018,39
06,Communes classées dans le Massif central,1968,45.83
06,Communes classées dans le Massif central,1975,45.82
06,Communes classées dans le Massif central,1982,45.68
06,Communes classées dans le Massif central,1990,45.21
06,Communes classées dans le Massif central,1999,44.65
06,Communes classées dans le Massif central,2007,46
06,Communes classées dans le Massif central,2008,46.15
06,Communes classées dans le Massif central,2012,46.47
06,Communes classées dans le Massif central,2013,46.55
06,Communes classées dans le Massif central,2017,46.63
06,Communes classées dans le Massif central,2018,46.63
07,Communes classées dans le massif de Martinique,1968,294.54
07,Communes classées dans le massif de Martinique,1975,299.37
07,Communes classées dans le massif de Martinique,1982,300.22
07,Communes classées dans le massif de Martinique,1990,326.38
07,Communes classées dans le massif de Martinique,1999,344.2
07,Communes classées dans le massif de Martinique,2007,358.07
07,Communes classées dans le massif de Martinique,2008,357.86
07,Communes classées dans le massif de Martinique,2012,348.68
07,Communes classées dans le massif de Martinique,2013,346.1
07,Communes classées dans le massif de Martinique,2017,333.62
07,Communes classées dans le massif de Martinique,2018,330.02
08,Communes classées dans le massif des Pyrénées,1968,27.68
08,Communes classées dans le massif des Pyrénées,1975,27.05
08,Communes classées dans le massif des Pyrénées,1982,26.7
08,Communes classées dans le massif des Pyrénées,1990,26.69
08,Communes classées dans le massif des Pyrénées,1999,26.71
08,Communes classées dans le massif des Pyrénées,2007,28.02
08,Communes classées dans le massif des Pyrénées,2008,28.26
08,Communes classées dans le massif des Pyrénées,2012,28.39
08,Communes classées dans le massif des Pyrénées,2013,28.42
08,Communes classées dans le massif des Pyrénées,2017,28.26
08,Communes classées dans le massif des Pyrénées,2018,28.25
09,Communes classées dans le massif des Hauts de la Réunion,1968,166.36
09,Communes classées dans le massif des Hauts de la Réunion,1975,190.39
09,Communes classées dans le massif des Hauts de la Réunion,1982,206.02
09,Communes classées dans le massif des Hauts de la Réunion,1990,238.77
09,Communes classées dans le massif des Hauts de la Réunion,1999,282.1
09,Communes classées dans le massif des Hauts de la Réunion,2007,317.17
09,Communes classées dans le massif des Hauts de la Réunion,2008,322.82
09,Communes classées dans le massif des Hauts de la Réunion,2012,333.08
09,Communes classées dans le massif des Hauts de la Réunion,2013,333.54
09,Communes classées dans le massif des Hauts de la Réunion,2017,340.96
09,Communes classées dans le massif des Hauts de la Réunion,2018,341.88
