Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Parc national),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
PAG,Parc amazonien de Guyane,1968,0.03
PAG,Parc amazonien de Guyane,1975,0.05
PAG,Parc amazonien de Guyane,1982,0.05
PAG,Parc amazonien de Guyane,1990,0.08
PAG,Parc amazonien de Guyane,1999,0.16
PAG,Parc amazonien de Guyane,2008,0.29
PAG,Parc amazonien de Guyane,2013,0.46
PAG,Parc amazonien de Guyane,2018,0.5
PNC,Parc national des Cévennes,1968,21.03
PNC,Parc national des Cévennes,1975,18.8
PNC,Parc national des Cévennes,1982,18.37
PNC,Parc national des Cévennes,1990,18.11
PNC,Parc national des Cévennes,1999,18.13
PNC,Parc national des Cévennes,2008,19.19
PNC,Parc national des Cévennes,2013,19.5
PNC,Parc national des Cévennes,2018,18.97
PNCAL,Parc national des Calanques,1968,2579.35
PNCAL,Parc national des Calanques,1975,2668.15
PNCAL,Parc national des Calanques,1982,2583.39
PNCAL,Parc national des Calanques,1990,2386.7
PNCAL,Parc national des Calanques,1999,2389.29
PNCAL,Parc national des Calanques,2008,2544.99
PNCAL,Parc national des Calanques,2013,2557.86
PNCAL,Parc national des Calanques,2018,2596.87
PNE,Parc national des Écrins,1968,10.87
PNE,Parc national des Écrins,1975,10.96
PNE,Parc national des Écrins,1982,12.09
PNE,Parc national des Écrins,1990,12.43
PNE,Parc national des Écrins,1999,13.24
PNE,Parc national des Écrins,2008,14.52
PNE,Parc national des Écrins,2013,14.64
PNE,Parc national des Écrins,2018,14.82
PNF,Parc national de Forêts,1968,14.16
PNF,Parc national de Forêts,1975,13.48
PNF,Parc national de Forêts,1982,13.23
PNF,Parc national de Forêts,1990,12.65
PNF,Parc national de Forêts,1999,12.24
PNF,Parc national de Forêts,2008,11.81
PNF,Parc national de Forêts,2013,11.53
PNF,Parc national de Forêts,2018,11.06
PNG,Parc national de Guadeloupe,1968,177.53
PNG,Parc national de Guadeloupe,1975,190.04
PNG,Parc national de Guadeloupe,1982,190.9
PNG,Parc national de Guadeloupe,1990,210.93
PNG,Parc national de Guadeloupe,1999,232.94
PNG,Parc national de Guadeloupe,2008,242.51
PNG,Parc national de Guadeloupe,2013,242.18
PNG,Parc national de Guadeloupe,2018,233.99
PNM,Parc national du Mercantour,1968,8.65
PNM,Parc national du Mercantour,1975,8.4
PNM,Parc national du Mercantour,1982,8.88
PNM,Parc national du Mercantour,1990,9.39
PNM,Parc national du Mercantour,1999,9.45
PNM,Parc national du Mercantour,2008,10.51
PNM,Parc national du Mercantour,2013,10.88
PNM,Parc national du Mercantour,2018,10.85
PNP,Parc national des Pyrénées,1968,16.87
PNP,Parc national des Pyrénées,1975,15.86
PNP,Parc national des Pyrénées,1982,15.33
PNP,Parc national des Pyrénées,1990,14.95
PNP,Parc national des Pyrénées,1999,14.62
PNP,Parc national des Pyrénées,2008,14.78
PNP,Parc national des Pyrénées,2013,14.3
PNP,Parc national des Pyrénées,2018,13.75
PNPC,Parc national de Port-Cros,1968,152.52
PNPC,Parc national de Port-Cros,1975,176.18
PNPC,Parc national de Port-Cros,1982,206.07
PNPC,Parc national de Port-Cros,1990,248.58
PNPC,Parc national de Port-Cros,1999,277.1
PNPC,Parc national de Port-Cros,2008,300.53
PNPC,Parc national de Port-Cros,2013,297.19
PNPC,Parc national de Port-Cros,2018,301.94
PNRUN,Parc national de La Réunion,1968,166.36
PNRUN,Parc national de La Réunion,1975,190.39
PNRUN,Parc national de La Réunion,1982,206.02
PNRUN,Parc national de La Réunion,1990,238.77
PNRUN,Parc national de La Réunion,1999,282.1
PNRUN,Parc national de La Réunion,2008,322.82
PNRUN,Parc national de La Réunion,2013,333.54
PNRUN,Parc national de La Réunion,2018,341.88
PNV,Parc national de la Vanoise,1968,14.16
PNV,Parc national de la Vanoise,1975,13.59
PNV,Parc national de la Vanoise,1982,14.89
PNV,Parc national de la Vanoise,1990,16.32
PNV,Parc national de la Vanoise,1999,17.38
PNV,Parc national de la Vanoise,2008,18.85
PNV,Parc national de la Vanoise,2013,18.73
PNV,Parc national de la Vanoise,2018,18.12
