Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Parc naturel régional),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
FR8000001,PNR du Vercors,1968,36.32
FR8000001,PNR du Vercors,1975,41.38
FR8000001,PNR du Vercors,1982,45.02
FR8000001,PNR du Vercors,1990,49.48
FR8000001,PNR du Vercors,1999,52.14
FR8000001,PNR du Vercors,2007,54.75
FR8000001,PNR du Vercors,2008,54.71
FR8000001,PNR du Vercors,2012,55.82
FR8000001,PNR du Vercors,2013,56.53
FR8000001,PNR du Vercors,2017,57.45
FR8000001,PNR du Vercors,2018,57.74
FR8000002,PNR du Queyras,1968,5.95
FR8000002,PNR du Queyras,1975,6.45
FR8000002,PNR du Queyras,1982,7.82
FR8000002,PNR du Queyras,1990,8.17
FR8000002,PNR du Queyras,1999,8.43
FR8000002,PNR du Queyras,2007,8.61
FR8000002,PNR du Queyras,2008,8.69
FR8000002,PNR du Queyras,2012,8.86
FR8000002,PNR du Queyras,2013,8.76
FR8000002,PNR du Queyras,2017,8.5
FR8000002,PNR du Queyras,2018,8.42
FR8000003,PNR du Luberon,1968,54.13
FR8000003,PNR du Luberon,1975,61.78
FR8000003,PNR du Luberon,1982,68.14
FR8000003,PNR du Luberon,1990,78.69
FR8000003,PNR du Luberon,1999,85.7
FR8000003,PNR du Luberon,2007,91.94
FR8000003,PNR du Luberon,2008,92.71
FR8000003,PNR du Luberon,2012,94.46
FR8000003,PNR du Luberon,2013,95.61
FR8000003,PNR du Luberon,2017,97.53
FR8000003,PNR du Luberon,2018,97.31
FR8000004,PNR de Chartreuse,1968,90.67
FR8000004,PNR de Chartreuse,1975,109.64
FR8000004,PNR de Chartreuse,1982,125.87
FR8000004,PNR de Chartreuse,1990,143.91
FR8000004,PNR de Chartreuse,1999,157.97
FR8000004,PNR de Chartreuse,2007,163.76
FR8000004,PNR de Chartreuse,2008,165.08
FR8000004,PNR de Chartreuse,2012,169.43
FR8000004,PNR de Chartreuse,2013,169.79
FR8000004,PNR de Chartreuse,2017,171.21
FR8000004,PNR de Chartreuse,2018,172.26
FR8000005,PNR d'Armorique,1968,49.95
FR8000005,PNR d'Armorique,1975,47.04
FR8000005,PNR d'Armorique,1982,47.63
FR8000005,PNR d'Armorique,1990,45.97
FR8000005,PNR d'Armorique,1999,45.73
FR8000005,PNR d'Armorique,2007,48.26
FR8000005,PNR d'Armorique,2008,48.54
FR8000005,PNR d'Armorique,2012,49.14
FR8000005,PNR d'Armorique,2013,49.13
FR8000005,PNR d'Armorique,2017,48.82
FR8000005,PNR d'Armorique,2018,48.55
FR8000006,PNR des Ballons des Vosges,1968,83.76
