Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Pays et PETR),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
AU01,PAYS DE COMBRAILLES,1968,31.37
AU01,PAYS DE COMBRAILLES,1975,28.38
AU01,PAYS DE COMBRAILLES,1982,27
AU01,PAYS DE COMBRAILLES,1990,25.07
AU01,PAYS DE COMBRAILLES,1999,23.68
AU01,PAYS DE COMBRAILLES,2008,24.13
AU01,PAYS DE COMBRAILLES,2013,24.33
AU01,PAYS DE COMBRAILLES,2018,24.46
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,1968,62.37
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,1975,60.6
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,1982,57.97
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,1990,55.13
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,1999,52.62
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,2008,51.98
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,2013,51.4
AU02,PAYS DE LA VALLÉE DE MONTLUÇON ET DU CHER,2018,49.5
AU03,PAYS DE LAFAYETTE,1968,30.09
AU03,PAYS DE LAFAYETTE,1975,28.81
AU03,PAYS DE LAFAYETTE,1982,27.96
AU03,PAYS DE LAFAYETTE,1990,26.51
AU03,PAYS DE LAFAYETTE,1999,25.6
AU03,PAYS DE LAFAYETTE,2008,26.31
AU03,PAYS DE LAFAYETTE,2013,26.22
AU03,PAYS DE LAFAYETTE,2018,25.89
AU04,PAYS EST CANTAL,1968,20.52
AU04,PAYS EST CANTAL,1975,19.7
AU04,PAYS EST CANTAL,1982,18.78
AU04,PAYS EST CANTAL,1990,17.88
AU04,PAYS EST CANTAL,1999,16.37
AU04,PAYS EST CANTAL,2008,16
AU04,PAYS EST CANTAL,2013,15.77
AU04,PAYS EST CANTAL,2018,15.45
AU06,PETR GRAND CLERMONT,1968,234.9
AU06,PETR GRAND CLERMONT,1975,267
AU06,PETR GRAND CLERMONT,1982,282.08
AU06,PETR GRAND CLERMONT,1990,291.47
AU06,PETR GRAND CLERMONT,1999,300.87
AU06,PETR GRAND CLERMONT,2008,313.76
AU06,PETR GRAND CLERMONT,2013,321.04
AU06,PETR GRAND CLERMONT,2018,332.31
AU07,PAYS D'AURILLAC,1968,41.98
AU07,PAYS D'AURILLAC,1975,44.1
AU07,PAYS D'AURILLAC,1982,44.85
AU07,PAYS D'AURILLAC,1990,45.21
AU07,PAYS D'AURILLAC,1999,44.42
AU07,PAYS D'AURILLAC,2008,44.88
AU07,PAYS D'AURILLAC,2013,44.67
AU07,PAYS D'AURILLAC,2018,44.32
AU09,PETR JEUNE LOIRE,1968,52.91
AU09,PETR JEUNE LOIRE,1975,52.45
AU09,PETR JEUNE LOIRE,1982,54.14
AU09,PETR JEUNE LOIRE,1990,57.68
AU09,PETR JEUNE LOIRE,1999,61.88
AU09,PETR JEUNE LOIRE,2008,69.76
AU09,PETR JEUNE LOIRE,2013,72.68
AU09,PETR JEUNE LOIRE,2018,73.7
AU10,PAYS DU VELAY,1968,45
AU10,PAYS DU VELAY,1975,44.9
