Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Territoire d'industrie),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
ti-0101,Communauté d'agglomération Cap Excellence,1968,591.42
ti-0101,Communauté d'agglomération Cap Excellence,1975,660.78
ti-0101,Communauté d'agglomération Cap Excellence,1982,707.8
ti-0101,Communauté d'agglomération Cap Excellence,1990,798.01
ti-0101,Communauté d'agglomération Cap Excellence,1999,826.66
ti-0101,Communauté d'agglomération Cap Excellence,2007,809.72
ti-0101,Communauté d'agglomération Cap Excellence,2008,815.86
ti-0101,Communauté d'agglomération Cap Excellence,2012,801.94
ti-0101,Communauté d'agglomération Cap Excellence,2013,799.02
ti-0101,Communauté d'agglomération Cap Excellence,2017,772.4
ti-0101,Communauté d'agglomération Cap Excellence,2018,767.34
ti-0201,Centre de la Martinique,1968,816.77
ti-0201,Centre de la Martinique,1975,863.51
ti-0201,Centre de la Martinique,1982,909.83
ti-0201,Centre de la Martinique,1990,958.94
ti-0201,Centre de la Martinique,1999,971.63
ti-0201,Centre de la Martinique,2007,982.29
ti-0201,Centre de la Martinique,2008,977.33
ti-0201,Centre de la Martinique,2012,948.11
ti-0201,Centre de la Martinique,2013,941.7
ti-0201,Centre de la Martinique,2017,912.8
ti-0201,Centre de la Martinique,2018,904.77
ti-0202,Pays Nord Martinique,1968,183.88
ti-0202,Pays Nord Martinique,1975,183.33
ti-0202,Pays Nord Martinique,1982,172.79
ti-0202,Pays Nord Martinique,1990,186.65
ti-0202,Pays Nord Martinique,1999,197.98
ti-0202,Pays Nord Martinique,2007,201.69
ti-0202,Pays Nord Martinique,2008,201.01
ti-0202,Pays Nord Martinique,2012,193.44
ti-0202,Pays Nord Martinique,2013,191.43
ti-0202,Pays Nord Martinique,2017,183.16
ti-0202,Pays Nord Martinique,2018,180.72
ti-0301,Cayenne,1968,5.55
ti-0301,Cayenne,1975,7.04
ti-0301,Cayenne,1982,9.66
ti-0301,Cayenne,1990,13.13
ti-0301,Cayenne,1999,18.1
ti-0301,Cayenne,2007,22.49
ti-0301,Cayenne,2008,22.69
ti-0301,Cayenne,2012,23.88
ti-0301,Cayenne,2013,24.2
ti-0301,Cayenne,2017,27.31
ti-0301,Cayenne,2018,28.41
ti-0302,Kourou,1968,0.53
ti-0302,Kourou,1975,0.68
ti-0302,Kourou,1982,0.85
ti-0302,Kourou,1990,1.59
ti-0302,Kourou,1999,1.97
ti-0302,Kourou,2007,2.61
ti-0302,Kourou,2008,2.65
ti-0302,Kourou,2012,2.58
ti-0302,Kourou,2013,2.59
ti-0302,Kourou,2017,2.57
ti-0302,Kourou,2018,2.5
ti-0303,Saint-Laurent du Maroni,1968,0.2
ti-0303,Saint-Laurent du Maroni,1975,0.23
ti-0303,Saint-Laurent du Maroni,1982,0.28
ti-0303,Saint-Laurent du Maroni,1990,0.63
ti-0303,Saint-Laurent du Maroni,1999,0.92
ti-0303,Saint-Laurent du Maroni,2007,1.5
ti-0303,Saint-Laurent du Maroni,2008,1.61
ti-0303,Saint-Laurent du Maroni,2012,1.97
ti-0303,Saint-Laurent du Maroni,2013,2.04
ti-0303,Saint-Laurent du Maroni,2017,2.25
ti-0303,Saint-Laurent du Maroni,2018,2.31
ti-0401,Le Port,1968,171.01
ti-0401,Le Port,1975,204.75
ti-0401,Le Port,1982,228.75
ti-0401,Le Port,1990,276.76
