Observatoire des territoires - ANCT,Unnamed: 1,Unnamed: 2,Unnamed: 3
Insee - RP - données historiques depuis 1968 (Unité urbaine (2020)),,,
,,,
,,,Densité de population
codgeo,libgeo,an,dens_pop
00151,Lécluse,1968,242.5
00151,Lécluse,1975,243.22
00151,Lécluse,1982,274.67
00151,Lécluse,1990,286.43
00151,Lécluse,1999,273.11
00151,Lécluse,2007,269.39
00151,Lécluse,2008,268.91
00151,Lécluse,2012,252.46
00151,Lécluse,2013,253.3
00151,Lécluse,2017,263.87
00151,Lécluse,2018,265.43
00152,Olonzac,1968,111.77
00152,Olonzac,1975,102.36
00152,Olonzac,1982,100.05
00152,Olonzac,1990,99.05
00152,Olonzac,1999,98.73
00152,Olonzac,2007,104.63
00152,Olonzac,2008,105.18
00152,Olonzac,2012,107.5
00152,Olonzac,2013,107.13
00152,Olonzac,2017,107.27
00152,Olonzac,2018,105.63
00153,Cussey-sur-l'Ognon,1968,31.46
00153,Cussey-sur-l'Ognon,1975,39.19
00153,Cussey-sur-l'Ognon,1982,59.96
00153,Cussey-sur-l'Ognon,1990,71.5
00153,Cussey-sur-l'Ognon,1999,80.63
00153,Cussey-sur-l'Ognon,2007,104.26
00153,Cussey-sur-l'Ognon,2008,107.48
00153,Cussey-sur-l'Ognon,2012,113.75
00153,Cussey-sur-l'Ognon,2013,115.05
00153,Cussey-sur-l'Ognon,2017,120.47
00153,Cussey-sur-l'Ognon,2018,120.07
00154,Aumale,1968,172.21
00154,Aumale,1975,171.94
00154,Aumale,1982,177.95
00154,Aumale,1990,169.8
00154,Aumale,1999,164.28
00154,Aumale,2007,155.74
00154,Aumale,2008,154.6
00154,Aumale,2012,146.39
00154,Aumale,2013,147.1
00154,Aumale,2017,132.39
00154,Aumale,2018,131.89
00155,Gouy-sous-Bellonne,1968,130.91
00155,Gouy-sous-Bellonne,1975,152.97
00155,Gouy-sous-Bellonne,1982,190.79
00155,Gouy-sous-Bellonne,1990,207.97
00155,Gouy-sous-Bellonne,1999,203.37
00155,Gouy-sous-Bellonne,2007,199.03
00155,Gouy-sous-Bellonne,2008,196.46
00155,Gouy-sous-Bellonne,2012,204.87
00155,Gouy-sous-Bellonne,2013,212.4
00155,Gouy-sous-Bellonne,2017,219.66
00155,Gouy-sous-Bellonne,2018,219.57
00156,Bessé-sur-Braye,1968,96.8
00156,Bessé-sur-Braye,1975,106.24
00156,Bessé-sur-Braye,1982,107.92
00156,Bessé-sur-Braye,1990,105.67
00156,Bessé-sur-Braye,1999,97.08
00156,Bessé-sur-Braye,2007,93.44
00156,Bessé-sur-Braye,2008,92.33
00156,Bessé-sur-Braye,2012,88.91
00156,Bessé-sur-Braye,2013,87.96
00156,Bessé-sur-Braye,2017,84.91
00156,Bessé-sur-Braye,2018,83.26
00157,Incheville,1968,134.88
00157,Incheville,1975,135.11
00157,Incheville,1982,143.64
00157,Incheville,1990,142.73
00157,Incheville,1999,141.91
00157,Incheville,2007,147.74
00157,Incheville,2008,150.25
00157,Incheville,2012,143.82
00157,Incheville,2013,143.14
00157,Incheville,2017,141.86
00157,Incheville,2018,140.4
00158,Gamaches,1968,253.61
00158,Gamaches,1975,272.31
00158,Gamaches,1982,258.6
00158,Gamaches,1990,242.06
00158,Gamaches,1999,233.6
00158,Gamaches,2007,229.86
00158,Gamaches,2008,229.4
00158,Gamaches,2012,222.64
00158,Gamaches,2013,219.09
00158,Gamaches,2017,208.79
00158,Gamaches,2018,205.58
00159,Entre-deux-Guiers,1968,145.79
00159,Entre-deux-Guiers,1975,141.68
00159,Entre-deux-Guiers,1982,137.77
00159,Entre-deux-Guiers,1990,147.21
00159,Entre-deux-Guiers,1999,146.04
00159,Entre-deux-Guiers,2007,156.36
